PLAYER,PLAYER_ID_ESPN,PLAYER_ID_NBA,PLAYER_NORM
Jaylen Martin,5149711,1641798,Jaylen Martin
Jaylen Nowell,4278541,1629669,Jaylen Nowell
Jaylen Wells,5112087,1642377,Jaylen Wells
Jaylon Tyson,4683747,1642281,Jaylon Tyson
Jayson Tatum,4065648,1628369,Jayson Tatum
Jazian Gortman,4708972,1641789,Jazian Gortman
Jeff Dowtin Jr.,4066786,1630288,Jeff Dowtin Jr.
Jeff Green,3209,201145,Jeff Green
Jerami Grant,2991070,203924,Jerami Grant
Jeremiah Robinson-Earl,4432813,1630526,Jeremiah Robinson-Earl
Jeremy Sochan,4610139,1631110,Jeremy Sochan
Jericho Sims,4277922,1630579,Jericho Sims
Jett Howard,5105806,1641724,Jett Howard
Jevon Carter,3133635,1628975,Jevon Carter
Jimmy Butler,6430,202710,Jimmy Butler
Jock Landale,3146557,1629111,Jock Landale
Joe Ingles,2968436,204060,Joe Ingles
Joel Embiid,3059318,203954,Joel Embiid
John Collins,3908845,1628381,John Collins
John Konchar,3134932,1629723,John Konchar
Johnny Davis,4432356,1631098,Johnny Davis
Johnny Furphy,5157066,1642277,Johnny Furphy
Johnny Juzang,4432817,1630548,Johnny Juzang
Jonas Valančiūnas,6477,202685,Jonas Valanciunas
Jonathan Isaac,4065654,1628371,Jonathan Isaac
Jonathan Kuminga,4433247,1630228,Jonathan Kuminga
Jonathan Mogbo,5107897,1642367,Jonathan Mogbo
Jordan Clarkson,2528426,203903,Jordan Clarkson
Jordan Hawkins,4683750,1641722,Jordan Hawkins
Jordan McLaughlin,3134916,1629162,Jordan McLaughlin
Jordan Miller,4396818,1641757,Jordan Miller
Jordan Poole,4277956,1629673,Jordan Poole
Jordan Walsh,4683689,1641775,Jordan Walsh
Jose Alvarado,4277869,1630631,Jose Alvarado
Josh Giddey,4871145,1630581,Josh Giddey
Josh Green,4432811,1630182,Josh Green
Josh Hart,3062679,1628404,Josh Hart
Josh Minott,4687718,1631169,Josh Minott
Josh Okogie,4065663,1629006,Josh Okogie
Josh Richardson,2581190,1626196,Josh Richardson
Jrue Holiday,3995,201950,Jrue Holiday
Julian Champagnie,4592479,1630577,Julian Champagnie
Julian Phillips,5105553,1641763,Julian Phillips
Julian Strawther,4432181,1631124,Julian Strawther
Julius Randle,3064514,203944,Julius Randle
Justin Champagnie,4432907,1630551,Justin Champagnie
Justin Edwards,4711297,1642348,Justin Edwards
Justin Minaya,4278111,1631303,Justin Minaya
Jusuf Nurkić,3102530,203994,Jusuf Nurkic
KJ Martin,4431828,1630231,KJ Martin
KJ Simpson,4683834,1642354,KJ Simpson
Kai Jones,4431699,1630539,Kai Jones
Karl-Anthony Towns,3136195,1626157,Karl-Anthony Towns
